Date,Amount,Location,Store,Fraudulent
2003-01-17,453.44,Port Laura,"Nelson, Wilcox and Clark",False
2002-08-01,581.86,Port Lisa,Ramirez Inc,False
1982-07-10,146.12,South Megantown,Ferguson LLC,False
2007-07-13,705.21,North Gregorychester,Mckinney PLC,True
1989-07-27,228.54,Port Derrickland,Pittman-Reed,False
2023-06-20,31.19,Rodgersview,Watts Ltd,True
2009-10-03,386.05,North Michaelstad,Davis-Christensen,True
1995-08-21,148.23,Port Alejandro,"Stewart, Joseph and Williams",False
1995-06-03,667.97,East Kathy,"Miller, Ward and Howard",False
1984-11-24,1.49,South Jodystad,Wallace-Williams,False
2018-06-06,789.38,Zacharyport,Peters Group,True
2017-08-15,445.83,Johnville,"Arnold, Browning and Smith",False
1979-08-31,709.79,South Amandaville,Sandoval and Sons,True
1977-08-19,400.0,East Frances,Frey LLC,False
1986-11-28,214.19,West Maria,Mcdowell-Mcguire,False
1971-11-20,887.29,Kristenland,Sutton Ltd,True
2018-07-24,577.98,South Lisaberg,"Jennings, Meyer and Clark",True
2016-04-28,531.94,Port Sandraland,"Zuniga, Morris and Lambert",True
1975-02-07,321.6,Justinside,"Melendez, Watkins and Harper",False
1987-08-18,11.44,Karlamouth,"Miller, Molina and Forbes",False
1992-07-22,575.76,North Timothy,Nichols PLC,True
1986-11-15,441.53,New Vanessa,Rodriguez-Hendricks,False
2012-03-10,507.41,Guyville,Dillon Group,True
1997-09-12,393.55,West Angelamouth,Simpson-Escobar,True
2004-07-01,947.94,Kennethberg,Chen and Sons,False
2018-12-07,336.27,Randyfurt,"Santiago, Rodriguez and Anderson",False
1991-10-26,642.63,East Caitlin,Schmidt-Sampson,False
2022-07-03,468.71,Tinatown,"Miller, English and Hernandez",False
2010-01-19,774.3,Stephensmouth,Castillo PLC,True
2016-04-07,165.91,North Brandon,Davis-Lopez,False
2023-06-24,764.71,Vanessaside,"Roth, Cole and Wade",True
2015-05-06,751.46,Dustinmouth,Perez-Little,False
2009-06-11,835.7,North Patricia,Wilson and Sons,False
1970-08-28,994.66,New Lukebury,Higgins-Richardson,False
2020-06-23,232.71,Emilyview,Eaton and Sons,True
2006-02-13,188.74,Moorehaven,"Lopez, Greene and Hall",False
2016-09-23,967.89,South Brian,"Wilkinson, Tucker and Johnson",False
2004-01-01,777.41,Lake Gabriel,"Charles, Clark and Holden",True
2001-04-02,322.61,Bellland,Sweeney Ltd,True
2022-05-19,721.09,Stevenland,"Jones, Perkins and Reed",False
2016-03-08,117.89,South Caitlin,Lawrence and Sons,False
1999-04-27,18.04,Nicholasfurt,Solomon LLC,False
2021-09-01,422.78,North Sonya,Wright Ltd,True
2002-04-25,801.41,Torresmouth,Dunlap LLC,True
1985-10-01,410.93,East Priscilla,Munoz-James,False
2005-10-27,879.75,North Elizabethberg,"Barker, Quinn and Gonzalez",True
2020-12-24,362.52,South Martha,Jackson Group,False
1987-05-25,487.91,South Rebeccaland,Hall LLC,True
2014-12-24,943.36,New Jenny,Aguirre LLC,True
1998-11-11,97.58,Conwaychester,Bailey-Harrington,True
1981-11-11,826.79,New Melissabury,"Park, Anthony and Brown",True
1998-12-30,460.29,Elizabethchester,Ward PLC,True
1987-12-11,940.25,Howardmouth,Powers PLC,True
1985-07-25,57.43,Suzannestad,"Oneal, Compton and Whitney",False
1999-02-12,741.21,South Carmenfurt,Rivera LLC,True
1983-07-07,827.64,Weaverburgh,Gibson Inc,True
2010-06-26,394.14,Dawsonside,"Flores, Newman and Horton",False
1971-09-24,48.74,West Carlland,Griffin-Matthews,True
1977-05-31,407.6,Millsfurt,Ortiz PLC,True
1992-09-07,335.9,Bryanview,"Turner, Mclaughlin and Thomas",False
2023-02-13,249.23,Jessicaland,Green and Sons,True
1997-09-11,57.75,West Theresa,"Simpson, Long and Vargas",True
1999-10-30,629.86,Phamshire,Lewis LLC,False
2011-02-08,689.48,West Morgan,Meyer-Olson,False
1996-09-20,3.21,Edwardsmouth,Valdez PLC,False
1992-12-16,208.67,Lake Renee,Gomez LLC,True
2018-07-30,795.07,East Tiffany,Kramer and Sons,True
2012-12-18,738.55,Lambchester,Chavez Ltd,True
1987-08-18,24.99,New Maria,Frazier Ltd,True
1994-10-12,861.37,East Cynthia,"Jackson, Benson and Sanders",True
2007-11-29,392.25,Connorshire,Wood-Reeves,False
2019-02-04,150.66,Charlesfort,"Brown, Patel and Scott",True
1993-10-18,228.14,Coxtown,Warren and Sons,False
1971-10-17,89.15,North Carolineland,Vaughn-Moore,False
1978-08-13,969.94,Anthonyton,"Jones, Fitzpatrick and Rios",True
2020-07-30,654.4,Lynnberg,"Ross, Huff and Burton",False
1994-10-17,908.64,Port Evan,Hull-Cook,False
2007-07-15,771.91,Lake Anne,"Nguyen, Stone and Lewis",False
1982-01-27,439.37,Hernandezchester,Hanson-Chen,False
1970-11-02,981.74,Peggychester,"Dunn, Tapia and Barajas",True
2012-12-14,493.75,Bryantown,Powell-Nichols,True
2016-06-17,638.76,Morrisbury,Martin-Morris,True
1973-08-28,414.29,New Davidland,Moore Group,False
1989-07-08,798.76,South Kristina,Winters PLC,False
1970-12-06,101.71,Bullockview,"Ramsey, Walker and Wood",True
2001-06-01,371.54,South Brandonshire,Douglas LLC,True
2005-03-31,637.97,Erinfort,"Kennedy, Smith and Chapman",False
1992-02-22,508.92,Lopezmouth,Day Group,False
2020-01-20,519.91,South Amy,Stone LLC,True
2004-10-18,84.14,Flynnville,Walker-Mcfarland,True
1985-03-08,857.65,South Jonathanbury,Leonard-Holt,True
1997-04-21,773.29,Jessemouth,"Bowen, Bell and Rios",True
1977-10-28,265.59,North Cynthiahaven,"Lopez, Sanchez and Simmons",False
1983-04-26,515.18,Megantown,"Allen, Ruiz and Leonard",True
1992-09-03,118.25,South Sarah,"Wilcox, Mcintosh and Hayes",False
1998-08-24,421.91,East Michaelland,Blair-Hines,True
1993-01-30,833.34,Port Johnfurt,Robinson Ltd,True
1987-08-25,315.41,Abigailhaven,Fields-Castro,False
2005-11-03,638.67,Kathrynberg,Phelps-Waters,True
1997-09-06,402.92,Katherinebury,Turner-Johnson,False
1993-04-17,598.9,North Katherine,Kelly-Miller,False
2014-04-11,654.41,Curtisstad,Escobar-Joyce,True
2015-03-06,266.3,Port Johnny,"Harper, King and Forbes",True
2021-12-30,894.44,Melissaport,Williams PLC,False
1992-11-22,846.12,Wilkinsport,"Smith, Caldwell and Fisher",True
1981-02-10,932.26,Johnathanview,Alexander-Bradley,True
2018-04-12,2.95,North Allison,"Anderson, Chapman and Weiss",True
1997-02-27,295.92,Deleonport,Murray-Kennedy,True
2022-06-09,747.65,North Laurenberg,Morgan and Sons,False
1982-12-11,197.96,Lake Daniel,Gardner Inc,True
2004-01-20,161.45,Wileytown,Moreno-Ferguson,True
1973-09-01,965.13,North Jeremyville,Macdonald-Richardson,True
2023-05-19,21.37,Krystalmouth,"Fox, Smith and Estrada",False
1990-02-25,723.59,South Kellyfort,Anderson-Greene,False
2025-02-04,932.95,East Katiefort,"Wright, Bryan and Galloway",True
1994-05-03,828.63,New Williamburgh,Gross-White,False
1992-12-02,47.59,Port Rileyshire,Fernandez-Gallagher,True
1984-01-30,430.11,Nathanielland,French Ltd,True
1972-07-18,798.84,Lake Michaelport,Burnett LLC,True
2008-11-15,805.04,Donnaport,Brown-Orozco,True
1980-05-24,727.39,New Andreafurt,Nelson Ltd,False
2002-03-16,475.13,Mooneyburgh,Fisher-Ellis,False
2013-12-07,886.01,New Lisamouth,Gutierrez-Mccoy,True
2011-01-16,967.27,Charlesside,Banks Group,False
2010-01-18,416.53,South Blake,Williams-Fuentes,True
1983-11-04,211.46,Rachelburgh,Berry-Maxwell,False
1972-05-23,870.23,Ryanhaven,"Garcia, Mendez and Contreras",True
2000-10-06,861.28,Jasmineville,"Perry, Odonnell and Webb",True
1983-04-07,561.66,Katherinemouth,"Lewis, Anderson and Miller",False
1976-10-26,475.24,Mcgrathhaven,Kane-Mcdonald,True
1972-10-09,586.85,Munozport,Hicks and Sons,True
1985-06-02,983.12,Lake Matthew,Porter-Gray,True
2012-01-08,938.12,South Benjaminbury,Knapp-Turner,False
2008-06-20,677.67,East Kyle,"Fernandez, Jones and Gonzales",True
2003-11-21,509.46,Goodstad,Washington-Rodriguez,True
2017-04-16,7.92,South Lindaville,Neal Group,False
2020-12-06,132.97,Blackburnhaven,Hill-Anderson,True
2014-10-29,441.4,New Amberberg,"Douglas, Schmidt and Foster",False
1982-12-30,38.23,Jimenezville,"Barry, Cole and Ortiz",True
2011-07-13,197.74,West Sabrinaton,"Jones, Bishop and Bailey",True
1992-12-16,650.94,Port Mitchellstad,"Gordon, Delacruz and Garza",True
1999-07-24,662.35,Amandafurt,"Stevens, Scott and Green",True
2023-05-25,955.89,Aliciabury,Jackson PLC,True
1997-03-18,762.89,Thomasland,Rangel Ltd,True
1970-02-12,635.15,North Jason,Russell Group,True
2002-12-24,722.28,Sandraborough,"Livingston, Herman and Cooper",False
2011-01-13,256.17,Rebeccaview,Mccoy-Barajas,False
1982-04-27,545.37,Martinezshire,Phillips-Small,True
2020-09-14,286.07,South Ashleytown,Smith-Richardson,False
2015-06-09,592.58,North Barbaramouth,Henderson-Berry,False
1983-01-30,181.51,Hooverhaven,Gray Inc,False
1987-02-25,285.64,Wellsville,Molina-Park,False
2005-10-06,110.1,South Tammy,Bates PLC,False
2013-03-24,235.17,South Jamesfurt,"Lewis, Porter and Bailey",False
2023-08-20,425.88,Sullivanland,"Burke, Williams and Acosta",True
2001-07-17,244.1,Cuevasland,Nguyen-Murray,False
1976-06-19,329.3,South Jeffreyton,Perry-Fisher,False
1987-08-06,462.63,New Mary,Smith-Hendrix,False
1979-02-22,920.4,Hortonstad,Kane-Sawyer,False
2015-05-23,117.51,Joyceview,Moore-Marshall,False
1989-02-25,439.92,North Cynthia,Mckay-Murray,True
2021-07-29,331.72,Port Bridget,"Huffman, Flores and Baker",False
2007-07-02,424.59,New Danielborough,"Allison, Sexton and Hudson",False
2007-08-14,59.1,West Troy,Hernandez and Sons,False
2006-12-02,769.81,Port Kevin,"Franco, Stewart and Gonzalez",False
2004-02-21,74.6,North Kevin,Oconnor Group,False
2005-01-08,809.96,Daleside,"Sims, Mathis and Carter",True
1987-06-26,991.58,West Jameschester,Parks-Brewer,True
2011-01-10,278.15,Smithbury,Warren and Sons,True
2000-11-10,153.85,West Amyton,Hall-English,True
2009-02-07,499.05,Carterland,Harris Group,True
1993-10-23,3.63,Santostown,"Perry, Cox and Blankenship",False
2002-10-06,564.52,South Meganland,Arellano Ltd,False
1995-08-22,487.38,East Joseburgh,"Sanchez, Johnson and Lowe",True
2024-08-25,533.12,Patrickfurt,Becker Inc,False
1971-10-06,811.15,South Roberthaven,"Smith, Roberts and Roman",False
1979-02-08,248.66,West Katelynmouth,Garrett PLC,True
1973-11-30,629.1,North Carrie,"York, Brown and Strickland",False
2015-05-14,369.83,East Jamesstad,Greer-Martin,False
2013-05-13,682.35,New Joshuaberg,Willis Inc,False
1987-01-15,280.78,Franklinfort,Martin Ltd,False
1995-03-16,64.1,Jensenmouth,Nelson-Castro,True
1975-11-21,317.8,North Timothy,Rivas-Mitchell,False
2009-07-02,675.22,Thomasborough,Fowler Ltd,False
1975-05-13,347.26,North Timothy,"Velasquez, Riley and Jackson",True
2007-08-09,834.33,Anthonyborough,Villarreal LLC,False
2014-05-23,56.49,Garciaside,May-Coleman,True
2008-02-19,844.06,Wellsmouth,Ramirez LLC,True
2015-04-05,735.28,East Ritafort,"Dixon, Moss and Mcclure",False
1987-03-09,101.59,Jessicaland,Jennings PLC,True
2012-12-07,923.15,East Tylermouth,White Ltd,True
1995-11-07,679.72,Patriciachester,Lopez and Sons,True
1974-06-16,148.4,Juliaville,Miranda Inc,True
2021-04-10,292.61,East Christinemouth,Rodriguez PLC,True
1981-06-27,185.75,North Michael,"Page, Watkins and Crawford",True
2015-08-14,175.87,East Ericaville,Cunningham Ltd,False
1980-07-16,428.01,Kingmouth,Estrada PLC,True
1972-06-22,454.11,Ortizmouth,Decker-Pugh,False
1979-02-06,725.35,East Jennifer,"Short, Rodgers and Barr",True
2001-11-18,134.72,Murphyview,Davis-Gonzalez,True
1977-10-01,851.75,Port Kaylaport,"Lara, Padilla and Roberts",False
2015-02-16,993.39,Port Ginamouth,Johnson-Adams,True
1991-11-20,238.43,West Tammystad,Clark Ltd,False
2010-07-24,999.52,New Peterbury,Brown-Archer,True
2006-12-06,190.17,North Donald,Mejia and Sons,False
1999-11-27,40.0,South Rita,"Barton, Duncan and Morris",True
1978-07-14,382.85,South Markshire,Mcdonald-Buck,True
1988-06-09,798.16,Amyfort,Watkins Ltd,True
2006-05-21,242.74,Teresaburgh,"Vang, Sanchez and Thomas",True
2023-04-20,382.17,Crawfordside,"Chapman, Bates and Jenkins",False
1999-12-10,873.8,Herrerashire,Good and Sons,False
1994-03-27,795.84,Sarahview,"Williamson, Montgomery and Meyer",True
2001-04-21,998.52,Juliestad,Green LLC,True
2005-07-24,679.67,Port Brian,"Franco, Green and Delacruz",True
2001-08-31,147.54,Sarahland,Evans LLC,True
1978-01-29,489.54,North Stephenfort,"Abbott, Fitzgerald and Miller",True
2014-07-02,193.81,West Tammy,"Bailey, Salas and Garcia",True
2024-09-08,704.26,Nancyside,"Rodriguez, Allen and Silva",True
1976-12-21,716.6,West Amberhaven,"Adams, Foster and Rowe",True
1995-09-29,856.35,Kimport,Davis-Cortez,True
1980-04-20,183.57,Kylehaven,Martinez-Rhodes,False
2010-08-28,964.27,Lisaburgh,Murphy and Sons,False
2004-04-04,108.07,North Bradley,"Glenn, Jones and Harris",False
2002-09-15,457.55,Allisontown,Clark-Roberts,False
2014-04-06,391.74,South Charles,Campbell Ltd,True
1990-05-31,656.34,Blackshire,"Lewis, Hall and Galvan",False
1987-01-20,326.24,North Michelle,"Norton, Blanchard and Giles",False
1974-10-02,849.39,Michellestad,"Juarez, Gallegos and Hughes",True
2009-06-12,511.28,North Tonifurt,"Rosario, Huff and Jones",False
1988-07-02,306.59,Lake Laurenton,"Callahan, Petersen and Hall",False
2021-03-24,669.66,Gilesborough,Norris and Sons,False
1972-02-09,215.78,Kylemouth,Ray Group,False
1993-06-09,123.57,North Debraside,Murray-Marquez,True
2025-03-22,568.05,East Natalieberg,Davis-Valdez,True
1974-02-27,728.96,Port Christinaport,Bell-Vaughan,False
2012-09-11,180.32,Martinezberg,"Roberts, Adams and Lee",True
1979-08-05,636.93,Gentryport,Castillo-Lopez,False
2000-08-10,630.42,Port Nicolechester,Miller Ltd,False
1979-04-12,764.99,Nicholeport,"Franklin, Davis and Hart",True
2012-11-12,190.69,Annaview,Jackson-Hernandez,True
1994-12-05,989.95,Elizabethchester,Lopez Group,True
2002-01-31,98.31,Elizabethberg,Reyes-Paul,True
2010-09-28,759.45,West Michelleburgh,"Lopez, Hill and Smith",False
2002-03-13,554.17,Michaelfurt,Kim Ltd,True
2020-01-29,696.57,Kramerport,"Morton, Sims and Murphy",False
2009-05-24,241.92,West Justintown,Campbell-James,False
1982-08-26,414.87,Andersonburgh,"Brown, Watson and Huerta",False
2001-07-20,873.95,Priceton,Phillips and Sons,True
1980-07-02,702.78,Hardinborough,Moore Inc,True
2014-07-09,303.92,West Misty,Peterson-Mcgee,True
1996-05-31,736.41,East Daniel,Hayes LLC,False
1977-05-07,63.99,North Ronald,Snow PLC,True
2008-08-13,747.51,North Amberside,Graves Inc,False
1978-07-17,915.71,Kennethside,Hensley Group,True
1988-08-31,497.66,Stephenton,Johnston-Crawford,True
1987-01-29,322.26,Wardland,Santos-Schaefer,True
1972-12-21,58.1,Graceton,"Johnson, Roberts and Davenport",False
1998-07-30,77.13,Villegasshire,"Black, Salas and Baxter",True
2011-05-12,190.3,Campbellfurt,Davis-Hernandez,False
1992-02-23,930.59,North Trevorview,Montoya-Hodge,False
2009-08-16,19.54,Rodriguezville,"Mckinney, Williams and Brock",True
2011-09-17,789.02,West Kristinberg,Smith-Payne,True
1973-09-08,599.13,West Matthewbury,Sims-Harvey,True
1992-07-20,508.06,Wrightside,"Edwards, Sharp and Rojas",False
1997-07-14,322.03,South Richard,Phillips Ltd,False
2002-08-20,824.51,New Cathy,"Cooper, Parks and Smith",True
1998-02-28,989.42,Lake Donnachester,"Weiss, Santos and Jackson",True
1985-09-13,524.16,Robertfort,Robinson-Roth,True
2001-09-10,79.5,East Timothybury,"Frost, Lewis and White",False
1993-05-03,846.71,South Geoffrey,Wade Group,True
2020-07-05,69.94,East Brian,"Torres, Adams and Farmer",True
1980-06-17,233.72,East Justin,Black-Meza,True
1998-07-20,43.89,Randallfurt,"Holmes, Melendez and Mendez",True
1985-01-29,492.9,East Tara,Johnson Group,False
1977-05-02,981.45,Anaside,Taylor Ltd,False
1999-12-11,868.56,East Brian,Bowman-Gardner,False
2001-05-09,998.42,Christopherchester,"Willis, Reid and Gardner",False
1973-05-19,234.09,Reidshire,Roach Inc,False
1991-01-20,812.07,Charlesstad,Thompson-Rodriguez,False
1972-08-18,376.22,Garciaville,Rowland Ltd,False
2001-10-08,937.97,West Frank,"Duran, Buckley and Wall",False
2014-12-08,643.4,Port Douglashaven,Doyle-Ramos,True
2006-06-29,962.55,Andersonburgh,Rojas PLC,True
1997-10-09,803.65,North Josephshire,Taylor-Horn,False
1982-09-26,487.2,Port Lori,"Blanchard, Nelson and Cox",True
1972-03-31,165.72,Jerryland,"Thomas, Stark and Patterson",True
2009-03-01,591.85,West Sarah,Higgins-Wilson,False
1996-01-14,747.84,New Elizabethport,Williams-Tyler,True
1999-10-26,712.51,North Kevin,Williams-White,False
2001-01-11,363.94,Davidmouth,Santos and Sons,True
2008-09-24,641.7,East Rogermouth,Soto Ltd,False
1987-07-02,685.26,Williamsfort,Aguilar Ltd,False
2024-09-29,716.92,Port Justinshire,Tucker and Sons,True
2011-08-23,539.73,New Nicholas,Fritz-Carroll,False
2005-06-08,116.8,Douglastown,Todd-Pierce,False
2003-05-08,717.09,West Douglasland,Garcia and Sons,True
1987-03-13,964.52,Michaelton,Walton-Bonilla,False
2015-11-18,155.39,Dianaville,"Powell, Anderson and Robinson",False
2015-02-03,973.13,Bakermouth,"Parrish, Bennett and Gardner",True
2016-01-03,146.14,Ericachester,Parker-Dean,True
1998-12-15,190.42,Davidchester,Miller Ltd,True
1996-03-10,535.04,Mooreshire,"Kramer, Mitchell and Todd",False
2005-04-01,222.77,Dylanchester,Miller Group,False
2010-03-10,603.68,Port Tammychester,Grant PLC,True
1992-09-28,432.96,Pattersonshire,Foster-Allison,False
1994-10-16,48.39,East Devin,Fuller Inc,False
2014-04-10,456.0,East Matthewburgh,Moore-Ross,False
1979-06-27,195.62,Robertfurt,Page-Cole,False
2019-02-01,733.49,East Mitchellville,Lawson Inc,False
2000-04-21,673.19,West Justin,Jones Inc,True
1971-03-14,532.88,East Reneeville,Newton LLC,True
1980-10-19,829.35,East Michellebury,"Mcintyre, Soto and Sanchez",False
1977-10-16,227.4,South Timothyside,"Ramsey, Day and Ramirez",False
2004-01-18,752.21,South Sophiachester,Long-Reed,False
1992-06-08,653.92,Mooreville,Ruiz Ltd,True
2023-09-16,30.92,Lake Cassandramouth,Vasquez and Sons,True
2006-09-30,809.53,South Michael,Good Ltd,True
1981-07-07,499.54,East Wendy,Fisher-Weaver,True
1979-03-26,687.37,Rebeccaborough,"Jackson, Phillips and Harris",True
2007-07-16,850.92,West Jeromemouth,White Group,True
1994-12-31,38.02,West Coltonport,"Leblanc, Marsh and Hanson",False
1986-03-25,527.44,New Renee,"Washington, Raymond and Davis",True
2020-11-11,945.78,Rodriguezborough,"Gilmore, Green and Collier",True
1986-03-25,353.71,West Alexandriamouth,Hensley Group,True
1997-12-10,897.28,Ryanbury,"Wallace, Carr and Cook",False
2010-03-27,784.47,New Annberg,"Ortiz, Waters and Knapp",False
1988-11-02,279.95,New Nancy,Williams and Sons,True
1978-01-28,687.9,Smithshire,Thompson-Edwards,False
2003-02-11,797.71,Ruizport,Shepherd-Woods,False
1985-12-20,499.87,South Troyside,Reed-Mendez,False
1973-09-05,795.98,West Rhonda,Norton-Gomez,True
1991-09-03,374.1,Williamsside,"Mosley, Davenport and Chavez",True
1980-10-17,722.78,East Bradley,Ross PLC,False
2001-10-04,65.18,South Stephaniefurt,Garcia and Sons,False
1997-10-19,703.31,Port Kim,Pierce LLC,False
2016-11-11,573.04,Smithbury,Johnson-Copeland,True
1985-01-29,406.06,New Gregory,Mcdonald Ltd,True
1980-10-23,105.09,Delacruzborough,Miller-Brown,False
1993-01-18,631.35,Brownshire,"Francis, Garcia and Sherman",True
1998-04-09,890.28,New Laurenstad,"Ramos, Jones and Allen",False
2019-10-24,604.28,Lake Melissamouth,Ochoa-Thompson,False
2023-03-12,141.78,Lake Suzanneport,Leon LLC,True
2007-05-20,741.81,North Kimberly,Rogers LLC,True
1990-08-20,56.12,Michaelville,Anderson PLC,False
1990-05-22,160.54,Figueroatown,"Davis, Schaefer and Trujillo",True
2013-02-19,324.83,Port Sheila,Hernandez PLC,False
2004-08-22,837.03,Colonfort,Garcia Ltd,False
1975-02-19,767.04,East Lisa,Scott and Sons,True
1972-05-18,853.86,South Kevin,Clark-Robbins,False
1987-12-18,297.27,Murphyshire,"Scott, Austin and Morgan",True
2021-04-20,965.2,Johnsonbury,"Crawford, Franklin and Hall",False
2016-07-28,511.25,East Scottbury,"Williams, Robinson and Smith",False
2012-03-18,630.66,Port Ericburgh,Warner-Russell,False
2007-09-20,115.02,Kimberlyberg,Wilson-Owens,True
1982-05-21,47.86,South Anitaport,"Simon, Allen and Ruiz",False
2005-03-13,501.03,Joshuatown,Harris-Foster,False
2025-03-13,426.46,Dawnborough,Cooper-Nichols,False
2001-12-27,230.58,Randolphhaven,Lozano Ltd,True
1986-09-05,924.6,Curtistown,Potts-Hughes,True
1998-02-12,325.96,Port Stephen,Lane PLC,True
1986-11-12,529.01,Port Jason,Davis Group,True
2008-11-19,851.48,South Melissachester,Reynolds-Rodriguez,True
2003-06-12,377.38,Merritttown,Clark-Williamson,True
1974-03-15,416.47,Lake James,"Larsen, Cross and Wilson",False
2005-03-16,314.84,North Dennis,Adams Group,True
1991-09-16,518.19,Lake Melissaburgh,Evans Ltd,False
1974-06-17,439.41,West Charlottetown,"Johnson, Smith and Gibson",False
2023-02-27,280.15,East Jessicaville,"Swanson, Francis and Anderson",False
2020-03-12,305.13,West Michael,"Melendez, Patel and Williams",True
1985-11-29,65.22,New Olivia,"Bennett, Lee and Love",False
2009-09-19,251.03,Port Anitastad,Levy-Burke,False
1979-12-20,482.65,West Brittany,"Smith, Vincent and Hamilton",True
1985-03-22,949.37,Port Jessica,Bailey-Buckley,True
1994-05-17,319.64,Port Katelyn,"Fowler, Wright and Moses",True
1974-04-17,255.33,East Kristi,Maldonado PLC,False
1990-10-31,577.28,Port Joshua,"Simon, Carey and Garcia",False
2000-04-17,997.4,North Rhondaland,"Ortiz, Smith and Riddle",False
2000-06-23,448.22,Scottborough,"Stokes, Decker and Daniel",True
2009-05-27,804.35,West Amanda,Mcdonald LLC,False
2006-08-16,73.86,North Samuelmouth,Williams-Rivers,True
2008-05-02,788.6,Rogersmouth,Cox-Massey,False
2020-06-13,976.77,Woodston,Hughes and Sons,False
2017-11-01,569.98,West Peterberg,Perkins-Ross,True
2016-12-01,571.72,Deckershire,Edwards-Atkins,True
1998-05-25,940.38,Janebury,Stevens Group,False
1982-09-19,612.28,Lake Karen,"Dillon, White and Wright",False
1983-10-26,910.32,Maryborough,Webb Inc,False
1988-03-03,653.04,Bellberg,"Diaz, Leach and Terry",False
2025-03-02,449.27,Port Michael,Crawford-Kennedy,True
2014-10-11,250.62,West Vickiborough,Schmidt-Haynes,False
1976-09-22,138.67,New John,Allen Inc,False
1998-12-22,878.03,Tamaraport,"Jackson, Mcclain and Mitchell",False
1974-10-15,525.39,Cynthiaport,"Miller, Obrien and Romero",True
1992-11-10,37.84,Port Michelle,"Patterson, Jones and Lee",False
1979-04-27,842.21,Port Joshua,"Thompson, Mcdonald and Compton",True
2019-07-09,657.61,Dawsonchester,Johnson LLC,True
1995-11-29,682.99,West Ericview,Alexander-Marshall,True
1991-05-04,550.64,New Meganview,Hill and Sons,True
1990-02-11,191.21,West Willieton,"Carter, Smith and Rogers",True
1992-05-27,659.79,Lake Mindyport,"Shaw, Lopez and Mcgee",True
1999-07-09,876.4,Amyshire,Boyle Inc,True
1976-01-14,596.86,New Lawrenceton,Smith-Baxter,True
1986-04-09,239.7,Gloverchester,"Swanson, Wagner and Campbell",True
2007-04-28,924.13,Tiffanymouth,"Brown, Roy and Turner",True
1975-06-05,945.19,Wrightfurt,Mcdonald Ltd,True
1990-03-04,940.15,West Laurie,"Maldonado, Hill and Phillips",False
1970-12-06,765.46,East Isaac,Morgan Inc,True
2008-11-03,292.17,East Stephanie,"Moore, Lang and Powers",False
1975-09-23,972.68,West Eugene,"Hooper, Johnson and Weaver",True
1980-02-29,712.09,North Holly,"Pope, Campbell and Miller",True
2006-07-23,669.78,North Scotttown,"Henderson, Sharp and Espinoza",True
1995-01-27,704.46,Baileyborough,Campbell-Ward,True
2000-06-20,128.77,Lake Julie,Taylor Group,False
1974-02-04,628.02,Lindseyview,Jimenez-Diaz,True
1981-11-03,529.32,New Davidshire,"Porter, Cain and Newton",False
1977-06-19,687.18,New Troy,"Williams, Wilson and Ford",True
2002-04-23,521.87,Johnsonberg,Harris-Miller,True
1997-12-24,856.52,Port Courtneytown,Vaughan PLC,False
1992-03-31,789.59,Blanchardmouth,Reyes Inc,False
2016-07-28,187.53,Gutierrezville,"Smith, Edwards and Garcia",True
1974-06-22,786.06,Zacharystad,Maynard-Randolph,False
1994-01-31,294.62,North Christinamouth,"Fields, Riley and Evans",False
2007-04-26,789.71,Saraport,Anderson LLC,False
1993-01-04,566.96,Tracyborough,Jones-Wells,True
1971-04-17,992.3,Lake Mary,Carter PLC,True
1974-10-24,481.4,New William,Richardson-Hoffman,False
1980-06-15,483.14,Gonzalezshire,York-Mills,False
2023-10-01,774.41,Hansenport,Soto-Walters,False
1978-07-08,187.02,Jacobsfurt,Williams-Herrera,True
2016-06-23,325.52,Lake Melissabury,"Frazier, Jensen and Brown",True
1998-11-19,855.71,East Erik,Ball-Turner,False
2018-12-10,467.63,New Robert,"Barnett, Vaughn and Kelly",True
2014-08-30,823.35,Port Megan,Martinez-Bridges,True
1994-11-28,140.91,Port Christie,"Hood, Rogers and Beasley",True
2017-09-03,955.5,Webbport,Hall-Wright,True
1982-11-10,463.56,Valeriestad,Young-Johnson,True
1992-12-23,774.21,Lake Johnview,Khan-Bell,True
1998-08-03,231.73,Sydneyborough,Elliott-Campos,True
1976-02-27,880.51,Kelseybury,"Gray, Bowers and Howard",False
1998-07-22,592.61,North Joshuamouth,Murray-Hayes,True
1978-12-15,368.78,Stephentown,"Gill, Harris and Gilbert",True
1995-04-02,415.64,Paulaborough,"Marshall, Valdez and Bush",False
1992-12-09,507.58,Port Alyssaberg,Johnson-Cruz,True
1987-05-21,100.09,North Rachel,Erickson-Thompson,False
2013-07-16,358.31,Markton,"Rodriguez, Hinton and Macdonald",True
2002-07-30,987.7,South Richard,"Cherry, Hawkins and Tucker",True
2010-12-14,859.7,Smithview,White-Bowman,False
2002-09-08,619.86,Lake Kathleen,"Thompson, Bradford and Wilson",False
1991-09-25,793.25,Amyburgh,Adams Inc,False
2000-12-30,52.48,West Kenneth,Riley-Lopez,False
1998-07-15,783.12,Boonetown,"Alvarez, Dominguez and Morse",False
1981-10-22,289.77,Davidmouth,Vega Ltd,True
2013-12-25,590.79,Michellefort,Taylor-Robinson,False
2011-04-20,770.11,Williamston,Davis and Sons,False
2004-01-20,421.02,New Nicholas,Dennis PLC,False
